ID_COMPRA,ID_PROVEEDOR,Puerto,Precio_envio,Fecha,Tiempo_de_Envio
73626313,72167477,Callao,347,2023-10-05,32
94084341,62047888,Callao,425,2023-01-08,32
69610335,42015971,Chancay,280,2025-06-29,20
81411138,44697919,Chancay,243,2025-02-28,23
39065399,87299570,Callao,320,2023-12-25,34
18067724,69674874,Callao,403,2024-04-11,42
11068400,22790114,Callao,363,2024-04-29,39
26808621,82833025,Chancay,236,2025-04-23,21
72393428,61418894,Callao,396,2023-06-15,39
40396622,43828366,Callao,330,2024-06-04,34
82634594,12648509,Callao,441,2024-04-23,30
20065655,51354048,Callao,466,2024-09-09,44
82183024,61747208,Callao,491,2023-09-12,43
75378042,20204889,Callao,328,2024-03-05,36
66618395,85272495,Callao,329,2023-11-17,31
63098917,48813660,Callao,383,2023-06-07,42
35551986,40382399,Callao,339,2023-12-18,39
67472885,49108443,Callao,408,2023-11-19,35
59938544,10067585,Callao,465,2024-02-17,37
85357927,21433566,Chancay,276,2025-12-07,18
43407739,31607116,Callao,473,2024-10-04,32
70284020,61340601,Chancay,245,2025-10-04,18
38173117,79468513,Callao,412,2023-07-27,44
75054093,59350677,Callao,498,2024-12-28,43
54508986,24923939,Chancay,147,2025-10-24,21
60625400,19310157,Callao,411,2023-02-25,40
11308920,46254022,Chancay,155,2025-12-07,22
62472927,33083750,Callao,338,2023-12-30,31
31643490,48535886,Callao,349,2023-09-09,41
16541226,53109891,Callao,351,2024-11-29,34
37670100,75721703,Chancay,274,2025-11-07,20
59972059,30746112,Callao,402,2023-12-05,39
67368192,94496415,Callao,362,2024-02-28,44
77809130,82419006,Callao,445,2023-01-18,41
71657104,31498005,Callao,306,2023-01-27,44
17926446,16159188,Chancay,286,2025-08-29,22
76672027,75778109,Callao,320,2024-01-31,36
83770253,61094787,Callao,469,2024-06-20,34
73579424,56062264,Callao,484,2023-03-30,35
97631458,22600625,Callao,478,2023-09-30,35
90173749,87927193,Chancay,160,2025-08-13,22
59208360,44142276,Callao,357,2024-08-31,30
43563956,88376399,Chancay,208,2025-03-05,23
94464743,15336173,Chancay,140,2025-12-08,23
37694265,56302281,Chancay,196,2025-10-03,21
25962054,77409570,Chancay,206,2025-10-28,25
97157025,93541046,Callao,447,2023-06-04,42
42345574,11208496,Callao,468,2024-06-12,35
79593773,96863039,Chancay,289,2025-04-23,20
84499119,81621400,Callao,480,2024-11-22,34
73132002,15340423,Callao,434,2023-12-03,36
11724475,97439222,Chancay,247,2025-07-08,25
41115795,28315417,Callao,437,2023-09-29,32
23621486,72560306,Callao,319,2023-10-28,38
86501353,11436160,Callao,315,2023-11-23,30
60491468,15189575,Callao,495,2024-12-30,35
88707314,27524093,Chancay,171,2025-08-11,25
60486785,60658704,Callao,348,2024-02-24,32
50255421,18803166,Callao,350,2024-03-27,42
57422181,61414796,Chancay,118,2025-04-23,24
90015611,54228838,Callao,494,2024-07-20,41
52344318,74232603,Callao,308,2024-01-18,36
25199442,57449905,Chancay,128,2025-12-09,25
80979060,16276145,Callao,474,2023-10-10,39
32112785,28667165,Callao,352,2024-02-17,34
99845051,49351000,Callao,460,2023-02-25,41
92613842,16318391,Chancay,281,2025-06-29,20
91483961,30387816,Callao,438,2023-12-12,39
71492977,65205715,Callao,417,2023-05-22,43
21549089,58303821,Callao,373,2024-01-28,33
61268581,32789875,Callao,307,2023-01-26,34
35328682,54544432,Callao,388,2023-04-05,34
51748610,37492662,Chancay,144,2025-09-20,19
35596057,13651552,Callao,496,2023-07-08,40
96710770,59055502,Callao,306,2024-06-04,31
94948431,37971516,Callao,325,2024-04-15,34
47923691,64727613,Callao,472,2023-05-16,43
79546292,71973367,Chancay,246,2025-01-15,24
88077091,44188682,Callao,383,2024-10-21,42
76906630,11480620,Chancay,120,2025-08-09,23
88302031,83490528,Callao,383,2024-06-25,35
37275949,21523508,Callao,439,2024-07-12,41
41882906,90071154,Callao,349,2024-06-08,41
76563769,77041000,Callao,314,2024-01-15,37
81264325,96376821,Callao,484,2024-03-19,37
50317000,83750489,Callao,353,2023-04-13,41
28254819,66982709,Callao,351,2023-08-09,41
38986874,32313873,Callao,466,2023-11-19,34
87453322,81633139,Callao,415,2024-06-21,43
48867302,87732116,Callao,487,2024-01-28,45
72544254,77295353,Callao,498,2023-09-12,33
27598214,26241803,Chancay,166,2025-09-11,24
60658964,76527663,Callao,429,2024-05-20,42
16489839,22028164,Chancay,291,2025-10-03,21
18087161,34149340,Callao,381,2024-12-19,30
27712904,84847059,Callao,446,2023-05-20,32
76099739,97320895,Callao,382,2023-10-01,37
69876352,39565208,Callao,497,2023-02-10,30
35465663,39727387,Callao,466,2024-11-10,45
58711597,37351842,Callao,468,2024-07-13,42
85719074,60354172,Chancay,168,2025-11-29,23
35681788,81719766,Chancay,143,2025-04-02,18
16571345,48457540,Callao,300,2024-02-04,33
59265122,57297720,Callao,446,2024-01-30,31
25535010,85329205,Chancay,119,2025-06-23,22
14832970,83445138,Chancay,100,2025-08-22,21
85409756,47054203,Chancay,259,2025-10-29,23
93278671,53725024,Callao,359,2023-09-02,31
93209353,75607894,Callao,347,2024-05-11,41
32654563,28510672,Callao,468,2024-06-09,37
75572043,81373561,Chancay,205,2025-04-07,24
47042760,62138671,Callao,338,2023-03-24,34
22827653,79565989,Chancay,277,2025-12-14,22
65870765,79244820,Callao,490,2024-02-07,35
53847749,88773408,Callao,329,2023-08-22,39
75772240,21548774,Callao,317,2023-03-24,37
25792028,13522822,Chancay,292,2025-07-30,21
25739498,83481405,Callao,356,2024-10-27,36
90108108,13122310,Chancay,233,2025-09-20,20
42863068,11779686,Callao,349,2024-03-28,36
76339729,94138961,Callao,452,2024-04-28,35
37142370,88940729,Callao,363,2024-07-10,43
89813725,47998027,Callao,382,2023-01-21,37
10626728,31176769,Chancay,110,2025-05-30,20
77594186,51574353,Chancay,217,2025-10-11,21
11022139,70834065,Chancay,285,2025-05-29,18
72620516,51370407,Callao,300,2023-11-02,30
66370773,79919651,Callao,308,2023-07-14,32
90382041,25296821,Callao,347,2024-04-16,32
89091569,87389201,Chancay,105,2025-02-22,24
64351872,67716389,Chancay,290,2025-09-18,18
98443983,14712312,Callao,405,2023-03-03,43
16303637,51552441,Chancay,178,2025-09-02,19
54015590,25246226,Chancay,155,2025-04-07,23
63869852,28982432,Chancay,149,2025-03-20,24
10774903,99055805,Callao,349,2024-02-10,35
39230130,65078542,Chancay,209,2025-01-06,21
42234650,57383849,Chancay,141,2025-05-14,24
64122164,45951887,Chancay,252,2025-03-05,23
84860457,94601016,Callao,463,2024-02-17,45
24854760,83083567,Chancay,210,2025-03-21,23
52801165,92169050,Callao,434,2023-06-04,44
35965529,81850905,Callao,336,2024-10-25,31
12229714,45084474,Callao,438,2023-05-01,39
56159561,24437935,Callao,377,2023-05-20,45
96523640,74332130,Callao,443,2024-03-18,35
66678197,73575707,Callao,474,2023-08-16,30
57867720,99914553,Chancay,200,2025-01-02,23
69724838,69023754,Callao,321,2023-02-09,30
64045717,15740239,Callao,332,2024-08-27,36
35448986,20777577,Callao,494,2023-08-18,42
64015971,33402513,Chancay,271,2025-01-19,18
44353617,54163356,Callao,378,2024-11-09,37
98645438,65189120,Callao,429,2024-03-23,39
11580269,52163581,Callao,378,2024-04-01,39
63569173,36261935,Callao,408,2024-08-11,35
67724593,32554013,Chancay,197,2025-07-20,20
98567368,87702183,Callao,352,2023-03-31,30
13141539,34349109,Callao,458,2024-03-21,42
15969714,38829779,Callao,343,2023-04-23,44
13002350,64941174,Callao,411,2024-06-23,42
35975363,50144253,Callao,385,2023-11-20,42
68399104,91733204,Callao,339,2023-01-27,37
55804209,64473272,Callao,412,2024-12-11,37
48395701,54916532,Callao,312,2023-10-18,45
98075009,22498572,Callao,425,2024-03-02,41
16654589,95420612,Chancay,270,2025-08-03,25
83728289,85352078,Callao,460,2024-05-13,36
84738040,97532412,Callao,337,2024-09-12,30
53595103,45823812,Callao,376,2024-03-08,43
18615179,82726566,Chancay,201,2025-12-06,20
30592194,70278383,Callao,427,2024-08-27,39
51942110,42688639,Chancay,108,2025-12-14,20
38168511,73126404,Chancay,157,2025-06-04,24
31242214,35270219,Chancay,262,2025-02-07,19
62222939,12358866,Callao,300,2024-11-02,36
68856064,95634383,Chancay,226,2025-06-29,22
93395031,42271605,Callao,472,2024-03-13,44
57834918,42116536,Chancay,201,2025-06-16,24
42398529,80287214,Chancay,175,2025-12-08,20
43829437,66104115,Chancay,116,2025-12-28,22
92599516,93388901,Callao,336,2024-10-22,35
60561111,51323751,Callao,390,2024-09-14,39
13996593,72757236,Callao,459,2023-06-19,31
83972497,45165437,Callao,314,2023-08-23,38
82546059,37721175,Callao,407,2023-12-15,44
35364547,49053691,Callao,395,2023-09-17,40
64445286,24497231,Callao,370,2023-12-31,32
32160793,86831299,Chancay,172,2025-10-24,24
62565759,83532899,Chancay,121,2025-01-15,22
79866604,55538107,Callao,312,2024-09-11,40
25991753,60385337,Callao,407,2024-04-20,41
10714109,32326952,Callao,463,2023-12-26,35
32180521,86017831,Callao,339,2024-02-01,42
21355709,49467033,Chancay,164,2025-05-17,18
36837532,94221197,Chancay,240,2025-08-11,25
75605753,99516960,Chancay,188,2025-09-17,25
92310599,26809543,Callao,358,2024-11-12,41
43358795,11262364,Chancay,238,2025-03-31,25
31689330,90640158,Callao,409,2023-01-22,38
25363394,83423899,Callao,446,2024-07-22,31
66709952,42145437,Callao,401,2024-08-21,39
31888935,89048670,Chancay,166,2025-12-30,25
99237746,12102096,Callao,321,2023-10-13,30
95815773,41036692,Callao,398,2024-09-15,36
93000256,69410666,Chancay,250,2025-12-12,24
40996375,28745816,Callao,488,2024-10-11,32
37745635,41542237,Callao,416,2024-09-06,37
78976833,83700465,Callao,322,2023-10-04,37
12349919,73442360,Callao,359,2023-11-24,36
39463651,22950047,Chancay,252,2025-10-05,21
39453252,24868929,Callao,329,2023-10-13,32
97203091,13360464,Callao,306,2024-07-10,30
99064618,80312041,Callao,425,2024-08-09,33
25711795,25191540,Callao,348,2024-04-15,42
80457321,65763700,Chancay,285,2025-11-21,18
88757947,57773314,Chancay,104,2025-04-08,18
62939503,76762067,Callao,444,2024-09-25,43
14914345,59034275,Chancay,173,2025-06-15,24
99539222,79799134,Callao,439,2024-01-06,39
85084269,86645100,Chancay,191,2025-01-24,20
84348820,73309738,Callao,462,2023-08-09,40
18155089,77000680,Callao,487,2023-03-04,41
37806749,72689294,Callao,427,2023-10-30,35
23453299,72629266,Callao,421,2023-07-27,35
