ID_PRODUCTO,PrecioVenta,Impuesto
80594109,198.87,31.57
79694131,2558.48,432.24
96470312,3350.48,529.65
62784480,3031.91,540.97
15196424,1314.66,150.8
67200907,1137.25,177.21
91458107,1122.64,214.98
22391476,1780.29,231.93
16257790,1856.36,214.02
94602618,1301.24,131.13
14920180,1729.35,282.68
57892797,944.98,99.64
64400475,1503.63,282.84
69661166,1031.0,126.35
21628759,3249.48,409.1
71887554,3706.03,699.78
40351170,2946.12,404.94
81111602,982.29,141.62
98173839,3681.3,506.27
40593904,3430.0,622.38
80072569,218.47,42.94
22312849,3777.62,443.69
92368406,3002.19,398.65
85943146,730.51,110.15
62648296,1053.22,208.72
66988695,1091.25,169.09
44673663,2228.69,340.08
32758801,2613.73,365.01
63263775,608.28,96.45
73427195,2715.02,364.66
69364068,3284.0,480.28
47275345,3892.71,734.57
32680771,1252.97,161.81
76201553,201.1,22.74
90341418,2557.04,267.65
20031855,3733.07,642.0
31367561,3513.67,625.29
77954787,3608.29,570.47
49930939,2861.12,570.34
41571110,3839.81,669.77
41970306,1362.43,144.68
84190630,291.34,35.47
22746254,3170.17,514.19
91678825,3438.18,436.54
76146132,967.88,156.78
66704949,3026.11,496.28
14660026,745.72,115.91
71767261,39.36,4.49
38047418,1310.35,243.94
17653487,1052.7,173.75
52233639,1673.15,298.89
92889462,2446.96,323.84
60006112,48.26,7.51
42576967,2719.35,540.73
87145382,3884.13,544.64
83397390,559.62,101.98
39323391,3355.52,467.13
46239891,2675.65,308.58
62904698,1270.16,137.44
91024423,3740.4,506.83
26304366,3800.41,535.76
59725242,3704.86,639.53
82515899,2528.18,437.1
75565598,838.96,116.84
36548339,1282.51,182.63
30684114,2174.13,243.83
48458106,3702.82,528.0
74416120,3408.18,360.42
85803222,2312.38,318.12
25734971,1777.07,323.38
14076933,2485.98,459.5
24442701,2779.45,412.2
97658181,513.94,58.04
70157560,1858.58,301.78
36405342,2918.8,579.45
25948529,2192.74,312.37
56163270,1837.13,203.96
22590013,2886.09,359.46
39208956,1214.72,204.82
22381718,2963.51,483.12
11585060,898.01,123.03
35114094,305.02,50.19
65428970,3673.68,448.86
55084979,1150.67,146.58
83537420,773.32,98.01
44887094,1608.31,270.11
89469370,2057.08,234.58
69006364,3682.32,368.48
75663645,2303.68,295.99
29366342,3683.13,554.34
96403696,2679.94,416.52
59835235,3670.26,649.06
62378601,3333.46,529.4
83769239,607.49,94.15
79824626,2862.94,339.4
84366976,2468.61,432.87
29434958,796.07,138.88
93670223,3144.23,436.39
28122378,3039.96,462.78
47888075,1766.08,296.12
31301779,1694.6,275.58
67634159,235.25,28.16
88618274,1435.28,237.53
93904949,2636.96,297.37
98157500,1107.25,155.24
33460367,888.17,165.34
21354244,875.82,117.21
13724099,1328.85,150.98
35217986,1715.15,316.54
90484577,466.04,80.44
51808130,3843.7,647.63
59679362,1448.93,186.58
57895691,301.86,43.19
48860042,3358.68,362.55
27618360,180.88,31.42
69879484,1474.55,258.41
11708457,406.17,78.73
59291473,3719.92,670.51
95958023,1020.66,159.97
77051416,1366.72,213.76
21303835,2209.86,375.59
90030317,235.74,32.4
80098940,3844.07,658.63
11527917,455.78,80.34
55633041,3436.94,453.84
54559080,1941.49,317.14
35005078,277.37,30.71
83845210,2018.24,246.35
44411968,3156.69,476.89
81122301,3023.36,397.1
26234735,2630.03,456.28
29297908,3330.12,593.1
56405214,3313.83,393.15
89781593,3533.01,690.22
56799444,598.17,84.05
71666409,2999.37,378.97
49049654,2488.34,466.06
27848995,2277.14,235.98
91755526,3877.64,448.22
79400838,2312.27,338.29
64646980,2825.62,325.79
69831571,984.84,177.44
99086816,49.97,7.98
75168433,2797.47,358.63
75503078,3319.07,640.34
80873069,2919.38,437.44
11661263,3150.91,405.45
25502579,169.25,18.03
30040709,3750.57,576.62
33548597,1241.69,233.77
63419022,3175.45,411.86
97322615,1499.1,211.9
57179620,1542.58,171.87
87986268,3581.36,622.49
94551734,1217.93,206.06
