Costo_unitario,ID_producto,ID_compra,ID_proveedor,Cantidad
536.69,22926776,10513480,72167477,59
703.63,81700743,71217940,62047888,67
153.85,25922415,81731103,42015971,76
354.77,84090643,12936825,44697919,69
816.32,36341507,76087287,87299570,63
2231.73,20069421,11682070,69674874,82
1784.85,77804245,10320063,22790114,82
11.68,97570954,10650540,82833025,95
228.84,30537786,68399369,61418894,75
1474.23,60669286,92552858,43828366,67
1007.37,39198093,61705229,12648509,72
1220.64,47965680,54016920,51354048,64
772.93,75723130,13766059,61747208,75
2684.27,81302424,82842082,20204889,76
1344.14,26181472,27106827,85272495,57
1802.72,80897537,78442675,48813660,88
1730.01,23485398,92655289,40382399,63
950.14,96019105,20101178,49108443,67
2257.43,44368151,13746461,10067585,75
2496.52,83700162,13769764,21433566,96
2124.1,98920875,11373551,31607116,66
1655.92,16046337,58635623,61340601,90
1503.31,90365533,39463772,79468513,69
83.67,96100409,28757860,59350677,96
614.51,13873087,76094713,24923939,100
296.39,32186923,44457660,19310157,71
2166.3,21481562,63456838,46254022,56
616.31,11036211,34743050,33083750,62
1226.79,41735636,14458687,48535886,51
848.64,97324985,35871759,53109891,63
1701.34,80374623,47090143,75721703,84
622.62,16987054,38677204,30746112,76
779.66,80284860,40891616,94496415,76
1208.97,20992775,96310613,82419006,92
27.64,60138607,56411691,31498005,75
2975.59,20619954,60824401,16159188,93
1394.19,71023598,97995036,75778109,82
919.64,99102092,23462399,61094787,82
1957.1,49498899,66475557,56062264,57
1919.24,23851017,69318931,22600625,62
1085.3,14694199,10988144,87927193,84
441.79,60292507,52736925,44142276,99
543.78,65392581,90776240,88376399,71
1336.58,56050320,96554054,15336173,65
2821.86,32315057,41415648,56302281,77
881.92,33526130,33758615,77409570,63
1193.7,56866145,89187906,93541046,64
98.95,54048189,23179126,11208496,93
509.91,29156332,48825369,96863039,88
2479.51,99711200,83089678,81621400,79
551.28,83161595,79258201,15340423,90
1413.83,76417682,46662118,97439222,95
2255.45,26550340,33725642,28315417,81
1972.79,31550044,46648658,72560306,64
1906.04,31427996,17282906,11436160,66
1062.95,34245606,51966675,15189575,86
147.48,32564702,98563487,27524093,98
374.74,79027898,80517563,60658704,76
1440.53,19858083,51532886,18803166,54
1558.02,59097884,89479130,61414796,86
2684.41,79128873,92554165,54228838,52
2174.87,63441647,43999327,74232603,95
1552.19,74207799,97966188,57449905,66
2476.32,55491929,31574907,16276145,87
2072.3,41413565,11954164,28667165,74
1620.75,94125654,64710493,49351000,97
1336.77,46563700,68381606,16318391,66
2125.6,24590359,12153585,30387816,64
2264.81,20192656,71584161,65205715,68
2410.76,92958783,73246619,58303821,54
2364.14,98647171,65141260,32789875,57
2553.98,61360053,32082839,54544432,97
1910.1,84352927,43867233,37492662,79
1154.06,34312377,53457333,13651552,100
705.58,69878213,33816727,59055502,74
1534.9,64635505,93021083,37971516,86
2836.29,65430700,35768777,64727613,52
1722.24,73028003,40254611,71973367,95
1954.24,44494321,15577156,44188682,76
1581.01,45354999,87023150,11480620,68
2575.07,65497520,25480029,83490528,89
2888.93,31400488,90684040,21523508,94
787.41,60886986,65464917,90071154,92
928.67,97625824,94452923,77041000,51
113.57,38535416,28454310,96376821,75
1976.67,72783454,96383198,83750489,85
1575.52,74483250,59984602,66982709,54
1304.86,29050643,60138844,32313873,61
2670.45,67438285,36875416,81633139,52
1159.31,67965239,15521647,87732116,94
2715.6,14133135,40913441,77295353,69
1229.28,52418756,62658182,26241803,87
2764.02,84604798,90842124,76527663,85
2011.38,21815326,26045053,22028164,70
303.35,85782901,41109889,34149340,100
127.94,62592174,74860083,84847059,85
196.13,38392120,48358193,97320895,58
1668.85,47028019,78817200,39565208,70
310.18,20515175,64954370,39727387,97
2463.06,55747203,80752322,37351842,57
2821.93,47700675,90755318,60354172,72
106.97,46901973,62499619,81719766,67
296.79,56722046,66365479,48457540,95
1894.57,53757055,16441217,57297720,69
1986.73,44812304,97164539,85329205,54
520.41,74775228,84394446,83445138,73
91.27,60589258,43889896,47054203,98
1250.45,10765713,81646292,53725024,72
2892.32,40234340,74461960,75607894,62
907.85,29827886,65278576,28510672,92
271.87,47154861,81508951,81373561,86
1238.34,88588008,80513696,62138671,58
2956.94,93484494,44080151,79565989,62
2454.17,59303904,72577368,79244820,68
1643.88,35353029,85367814,88773408,99
2883.87,63232382,96778175,21548774,58
1900.82,84880273,95367616,13522822,74
367.35,10165916,63658317,83481405,75
1761.65,46835961,25780784,13122310,73
1074.23,57017067,50360215,11779686,68
